DISTANCE,3A(G)
1,150
5,150
6,150
10,150
11,150
15,150
16,150
20,150
21,150
25,150
26,150
30,150
31,150
35,150
36,150
40,150
41,150
45,150
46,150
50,150
51,150
55,150
56,150
60,150
61,150
65,150
66,150
70,150
71,150
75,150
76,150
80,150
81,150
85,150
86,150
90,150
91,150
95,150
96,150
100,198
101,198
105,198
106,198
110,198
111,198
115,198
116,198
120,198
121,198
125,198
126,198
130,198
131,198
135,198
136,198
140,198
141,198
145,198
146,198
150,198
151,239
155,239
156,239
160,239
161,239
165,239
166,239
170,239
171,239
175,239
176,239
180,239
181,239
185,239
186,239
190,239
191,239
195,239
196,239
200,239
201,280
205,280
206,280
210,280
211,280
215,280
216,280
220,280
221,280
225,280
226,280
230,280
231,280
235,280
236,280
240,280
241,280
245,280
246,280
250,280
251,309
255,309
256,309
260,309
261,309
265,309
266,309
270,309
271,309
275,309
276,309
280,309
281,309
285,309
286,309
290,309
291,309
295,309
296,309
300,309
301,343
310,343
311,343
320,343
321,343
330,343
331,343
340,343
341,343
350,343
351,377
360,377
361,377
370,377
371,377
380,377
381,377
390,377
391,377
400,377
401,405
410,405
411,405
420,405
421,405
430,405
431,405
440,405
441,405
450,405
451,439
460,439
461,439
470,439
471,439
480,439
481,439
490,439
491,439
500,439
501,502
510,502
511,502
520,502
521,502
530,502
531,502
540,502
541,502
550,502
551,534
560,534
561,534
570,534
571,534
580,534
581,534
590,534
591,534
600,534
