DISTANCE,SL(M)
1,120
5,120
6,120
10,120
11,120
15,120
16,120
20,120
21,120
25,120
26,120
30,120
31,120
35,120
36,120
40,120
41,120
45,120
46,120
50,120
51,120
55,120
56,120
60,120
61,120
65,120
66,120
70,120
71,120
75,120
76,120
80,120
81,120
85,120
86,120
90,120
91,120
95,120
96,120
100,120
101,120
105,120
106,120
110,120
111,120
115,120
116,120
120,120
121,120
125,120
126,120
130,120
131,120
135,120
136,120
140,120
141,120
145,120
146,120
150,120
151,120
155,120
156,120
160,120
161,120
165,120
166,120
170,120
171,120
175,120
176,120
180,120
181,120
185,120
186,120
190,120
191,120
195,120
196,136
200,136
201,138
205,138
206,140
210,140
211,143
215,143
216,144
220,144
221,146
225,146
226,150
230,150
231,152
235,152
236,254
240,254
241,256
245,256
246,158
250,158
251,160
255,160
256,161
260,161
261,165
265,165
266,166
270,166
271,168
275,168
276,170
280,170
281,172
285,172
286,175
290,175
291,177
295,177
296,181
300,181
301,186
310,186
311,189
320,189
321,194
330,194
331,198
340,198
341,203
350,203
351,207
360,207
361,211
370,211
371,214
380,217
381,217
390,222
391,222
400,227
401,227
410,232
411,232
420,236
421,236
430,239
431,239
440,244
441,244
450,248
451,248
460,252
461,252
470,257
471,257
480,261
481,261
490,276
491,276
500,281
501,281
510,283
511,283
520,287
521,287
530,291
531,291
540,293
541,293
550,297
551,297
560,301
561,301
570,305
571,305
580,307
581,307
590,312
591,312
600,316
