DISTANCE,SL(O)
1,76
5,76
6,76
10,76
11,76
15,76
16,76
20,76
21,76
25,76
26,76
30,76
31,76
35,76
36,76
40,76
41,76
45,76
46,76
50,76
51,76
55,76
56,76
60,76
61,76
65,76
66,76
70,76
71,76
75,76
76,76
80,76
81,76
85,76
86,76
90,76
91,76
95,76
96,76
100,76
101,76
105,76
106,76
110,76
111,76
115,76
116,76
120,76
121,76
125,76
126,76
130,76
131,76
135,76
136,76
140,76
141,76
145,76
146,76
150,76
151,76
155,76
156,76
160,76
161,76
165,76
166,76
170,76
171,76
175,76
176,76
180,76
181,76
185,76
186,76
190,76
191,76
195,76
196,76
200,76
201,84
205,84
206,85
210,85
211,88
215,88
216,89
220,89
221,91
225,91
226,92
230,92
231,94
235,94
236,95
240,95
241,97
245,97
246,98
250,98
251,98
255,98
256,100
260,100
261,101
265,101
266,103
270,103
271,104
275,104
276,106
280,106
281,106
285,106
286,108
290,108
291,109
295,109
296,110
300,110
301,114
310,114
311,116
320,116
321,119
330,119
331,122
340,122
341,123
350,123
351,126
360,126
361,128
370,128
371,130
380,130
381,133
390,133
391,137
400,137
401,139
410,139
411,142
420,142
421,145
430,145
431,146
440,146
441,149
450,149
451,152
460,152
461,154
470,154
471,157
480,157
481,160
490,160
491,163
500,163
501,177
510,177
511,179
520,179
521,182
530,182
531,183
540,183
541,185
550,185
551,189
560,189
561,191
570,191
571,194
580,194
581,196
590,196
591,197
600,197
