DISTANCE,FC(R)
1,1203
5,1203
6,1203
10,1203
11,1203
15,1203
16,1203
20,1203
21,1203
25,1203
26,1203
30,1203
31,1203
35,1203
36,1203
40,1203
41,1203
45,1203
46,1203
50,1203
51,1203
55,1203
56,1203
60,1203
61,1203
65,1203
66,1203
70,1203
71,1203
75,1203
76,1203
80,1203
81,1203
85,1203
86,1203
90,1203
91,1203
95,1203
96,1203
100,1203
101,1203
105,1203
106,1203
110,1203
111,1203
115,1203
116,1203
120,1203
121,1203
125,1203
126,1203
130,1203
131,1203
135,1203
136,1203
140,1203
141,1203
145,1203
146,1203
150,1203
151,1203
155,1203
156,1203
160,1203
161,1203
165,1203
166,1203
170,1203
171,1203
175,1203
176,1203
180,1203
181,1203
185,1203
186,1203
190,1203
191,1203
195,1203
196,1203
200,1203
201,1203
205,1203
206,1203
210,1203
211,1203
215,1203
216,1203
220,1203
221,1203
225,1203
226,1203
230,1203
231,1203
235,1203
236,1203
240,1203
241,1203
245,1203
246,1203
250,1203
251,1203
255,1203
256,1203
260,1203
261,1203
265,1203
266,1203
270,1203
271,1203
275,1203
276,1203
280,1203
281,1203
285,1203
286,1203
290,1203
291,1203
295,1203
296,1203
300,1203
301,1356
310,1356
311,1391
320,1391
321,1425
330,1425
331,1453
340,1453
341,1486
350,1486
351,1519
360,1519
361,1551
370,1551
371,1581
380,1581
381,1612
390,1612
391,1648
400,1648
401,1678
410,1678
411,1707
420,1707
421,1742
430,1742
431,1776
440,1776
441,1804
450,1804
451,1839
460,1839
461,1871
470,1871
471,1905
480,1905
481,1931
490,1931
491,1969
500,1969
501,2054
510,2054
511,2079
520,2079
521,2112
530,2112
531,2136
540,2136
541,2167
550,2167
551,2192
560,2192
561,2222
570,2222
571,2245
580,2245
581,2274
590,2274
591,2303
600,2303
