DISTANCE,2A(R)
1,706
5,706
6,706
10,706
11,706
15,706
16,706
20,706
21,706
25,706
26,706
30,706
31,706
35,706
36,706
40,706
41,706
45,706
46,706
50,706
51,706
55,706
56,706
60,706
61,706
65,706
66,706
70,706
71,706
75,706
76,706
80,706
81,706
85,706
86,706
90,706
91,706
95,706
96,706
100,706
101,706
105,706
106,706
110,706
111,706
115,706
116,706
120,706
121,706
125,706
126,706
130,706
131,706
135,706
136,706
140,706
141,706
145,706
146,706
150,706
151,706
155,706
156,706
160,706
161,706
165,706
166,706
170,706
171,706
175,706
176,706
180,706
181,706
185,706
186,706
190,706
191,706
195,706
196,706
200,706
201,706
205,706
206,706
210,706
211,706
215,706
216,706
220,706
221,706
225,706
226,706
230,706
231,706
235,706
236,706
240,706
241,706
245,706
246,706
250,706
251,706
255,706
256,706
260,706
261,706
265,706
266,706
270,706
271,706
275,706
276,706
280,706
281,706
285,706
286,706
290,706
291,706
295,706
296,706
300,706
301,798
310,798
311,813
320,813
321,835
330,835
331,851
340,851
341,870
350,870
351,885
360,885
361,909
370,909
371,923
380,923
381,940
390,940
391,959
400,959
401,978
410,978
411,995
420,995
421,1017
430,1017
431,1035
440,1035
441,1052
450,1052
451,1069
460,1069
461,1091
470,1091
471,1108
480,1108
481,1124
490,1124
491,1146
500,1146
501,1209
510,1209
511,1225
520,1225
521,1240
530,1240
531,1255
540,1255
541,1271
550,1271
551,1286
560,1286
561,1300
570,1300
571,1321
580,1321
581,1335
590,1335
591,1349
600,1349
