DISTANCE,EC(S)
1,384
5,384
6,384
10,384
11,384
15,384
16,384
20,384
21,384
25,384
26,384
30,384
31,384
35,384
36,384
40,384
41,384
45,384
46,384
50,384
51,463
55,463
56,465
60,465
61,468
65,468
66,469
70,469
71,474
75,474
76,476
80,476
81,477
85,477
86,480
90,480
91,481
95,481
96,484
100,484
101,505
105,505
106,525
110,525
111,527
115,527
116,534
120,534
121,544
125,544
126,558
130,558
131,573
135,573
136,585
140,585
141,600
145,600
146,608
150,608
151,622
155,622
156,634
160,634
161,649
165,649
166,662
170,662
171,673
175,673
176,686
180,686
181,697
185,697
186,710
190,710
191,726
195,726
196,737
200,737
201,750
205,750
206,762
210,762
211,774
215,774
216,785
220,785
221,799
225,799
226,811
230,811
231,826
235,826
236,840
240,840
241,851
245,851
246,863
250,863
251,874
255,874
256,886
260,886
261,897
265,897
266,909
270,909
271,917
275,917
276,929
280,929
281,942
285,942
286,955
290,955
291,962
295,962
296,978
300,978
301,997
310,997
311,1021
320,1021
321,1042
330,1042
331,1064
340,1064
341,1089
350,1089
351,1110
360,1110
361,1131
370,1131
371,1156
380,1156
381,1180
390,1180
391,1199
400,1199
401,1224
410,1224
411,1247
420,1247
421,1271
430,1271
431,1293
440,1293
441,1310
450,1310
451,1338
460,1338
461,1360
470,1360
471,1382
480,1382
481,1405
490,1405
491,1426
500,1426
501,1506
510,1506
511,1528
520,1528
521,1542
530,1542
531,1562
540,1562
541,1581
550,1581
551,1603
560,1603
561,1623
570,1623
571,1642
580,1642
581,1661
590,1661
591,1680
600,1680
